,companyFullName,city,companyLabelList,companySize,createTime,district,education,financeStage,firstType,industryField,positionAdvantage,positionLables,positionName,salary,workYear,,
52,在线途游（北京）科技有限公司,北京,"['股票期权', '专项奖金', '五险一金', '带薪年假']",150-500人,2018-03-10 17:08:47,朝阳区,本科,B轮,开发/测试/运维类,"移动互联网,游戏","施展空间大,季度奖,年终奖","['云计算', '高级', '运维']",python开发工程师,15k-25k,3-5年,,
53,上海进馨网络科技有限公司,上海,"['股票期权', '岗位晋升', '扁平管理', '五险一金']",50-150人,2018-03-10 09:47:59,浦东新区,本科,B轮,技术,"移动互联网,教育",发展前景大、工作氛围好、技术牛人多,"['云计算', 'linux', 'php', 'Java', 'Ruby']",Python开发工程师,15k-25k,3-5年,,
54,北京一人一亩田网络科技有限公司,北京,"['节日礼物', '年底双薪', '专项奖金', '股票期权']",150-500人,2018-03-09 11:22:41,海淀区,本科,C轮,开发/测试/运维类,"移动互联网,电子商务","临近地铁,大牛团队,六险一金,年终奖","['大数据', '数据挖掘', '人工智能', '算法', '挖掘']",python开发工程师,20k-36k,3-5年,,
55,腾讯科技(深圳)有限公司,深圳,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",2000人以上,2018-03-01 09:53:36,南山区,本科,上市公司,开发/测试/运维类,"移动互联网 ,游戏","五险一金,绩效奖金,带薪休假","['linux', '大数据', 'MySQL']",HY2-监控系统开发工程师-Python（深圳）,18k-30k,3-5年,,
56,武汉佰钧成技术有限责任公司,杭州,"['带薪年假', '计算机软件', '管理规范', '定期体检']",2000人以上,2018-03-09 16:46:14,西湖区,大专,不需要融资,开发/测试/运维类,移动互联网,"项目大,平台优,技术新,发展好","['云计算', '软件开发', '大数据', 'MySQL', '架构']",python开发,10k-20k,3-5年,,
57,长沙辰运软件有限公司,长沙,"['年底双薪', '技能培训', '绩效奖金', '年度旅游']",150-500人,2018-03-09 17:30:48,岳麓区,不限,不需要融资,开发/测试/运维类,移动互联网,"五险一金,年底双薪,交通补助,餐补",['云计算'],Python工程师,10k-15k,不限,,
58,上海帝联信息科技股份有限公司,南通,"['节日礼物', '技能培训', '带薪年假', '绩效奖金']",500-2000人,2018-03-09 14:27:40,崇川区,本科,D轮及以上,开发/测试/运维类,移动互联网,"领导好,有前景","['中级', 'linux']",python研发工程师,6k-11k,1-3年,,
59,上海海万信息科技股份有限公司,深圳,[],500-2000人,2018-03-11 13:07:08,福田区,本科,不需要融资,开发/测试/运维类,"移动互联网,金融","大平台,交通便利,环境优美,福利待遇好","['金融', 'linux', '数据分析', '数据挖掘', 'Djadgo']",Python工程师,10k-20k,1-3年,,
60,北京国双科技有限公司,北京,"['年度旅游', '节日礼物', '年底双薪', '带薪年假']",500-2000人,2018-03-09 09:53:37,海淀区,本科,上市公司,开发/测试/运维类,"数据服务,企业服务",上市公司 前景佳 氛围好 牛人多,['linux'],资深Python开发工程师（北京）,20k-30k,3-5年,,
61,武汉佰钧成技术有限责任公司,杭州,"['带薪年假', '计算机软件', '管理规范', '定期体检']",2000人以上,2018-03-09 11:24:04,余杭区,大专,不需要融资,开发/测试/运维类,移动互联网,"周末双休,六险一金,技术提升","['云计算', '资深', '高级', 'MySQL', 'redis']",python开发工程师,11k-20k,1-3年,,
